Number of training samples: 2828
Number of validation samples: 353
Number of test samples: 354
[Epoch: 1 / 50 | avg train loss 0.7275  | avg train iou 0.4065 | avg validation loss 0.5163 | avg validation iou 0.4641| lr : 0.001
[Epoch: 2 / 50 | avg train loss 0.4602  | avg train iou 0.4803 | avg validation loss 0.4524 | avg validation iou 0.4791| lr : 0.001
[Epoch: 3 / 50 | avg train loss 0.4207  | avg train iou 0.4983 | avg validation loss 0.4756 | avg validation iou 0.458| lr : 0.001
[Epoch: 4 / 50 | avg train loss 0.4091  | avg train iou 0.5036 | avg validation loss 0.4392 | avg validation iou 0.4802| lr : 0.001
[Epoch: 5 / 50 | avg train loss 0.3975  | avg train iou 0.511 | avg validation loss 0.4133 | avg validation iou 0.4974| lr : 0.001
[Epoch: 6 / 50 | avg train loss 0.3895  | avg train iou 0.5164 | avg validation loss 0.4246 | avg validation iou 0.4869| lr : 0.001
[Epoch: 7 / 50 | avg train loss 0.3844  | avg train iou 0.5193 | avg validation loss 0.4211 | avg validation iou 0.4908| lr : 0.001
[Epoch: 8 / 50 | avg train loss 0.3735  | avg train iou 0.5282 | avg validation loss 0.4245 | avg validation iou 0.4875| lr : 0.001
[Epoch: 9 / 50 | avg train loss 0.3712  | avg train iou 0.5304 | avg validation loss 0.4131 | avg validation iou 0.495| lr : 0.001
[Epoch: 10 / 50 | avg train loss 0.3576  | avg train iou 0.5413 | avg validation loss 0.5553 | avg validation iou 0.4078| lr : 0.001
[Epoch: 11 / 50 | avg train loss 0.3561  | avg train iou 0.5429 | avg validation loss 0.4022 | avg validation iou 0.5053| lr : 0.001
[Epoch: 12 / 50 | avg train loss 0.3481  | avg train iou 0.5492 | avg validation loss 0.3955 | avg validation iou 0.5086| lr : 0.001
[Epoch: 13 / 50 | avg train loss 0.3399  | avg train iou 0.557 | avg validation loss 0.448 | avg validation iou 0.4715| lr : 0.001
[Epoch: 14 / 50 | avg train loss 0.3318  | avg train iou 0.5641 | avg validation loss 0.395 | avg validation iou 0.5094| lr : 0.001
[Epoch: 15 / 50 | avg train loss 0.3242  | avg train iou 0.5713 | avg validation loss 0.4208 | avg validation iou 0.4902| lr : 0.001
[Epoch: 16 / 50 | avg train loss 0.3158  | avg train iou 0.5791 | avg validation loss 0.381 | avg validation iou 0.5205| lr : 0.001
[Epoch: 17 / 50 | avg train loss 0.2998  | avg train iou 0.5947 | avg validation loss 0.3944 | avg validation iou 0.5113| lr : 0.001
[Epoch: 18 / 50 | avg train loss 0.2967  | avg train iou 0.598 | avg validation loss 0.3899 | avg validation iou 0.5148| lr : 0.001
[Epoch: 19 / 50 | avg train loss 0.2799  | avg train iou 0.6157 | avg validation loss 0.3973 | avg validation iou 0.5095| lr : 0.001
[Epoch: 20 / 50 | avg train loss 0.2691  | avg train iou 0.627 | avg validation loss 0.3855 | avg validation iou 0.5174| lr : 0.001
[Epoch: 21 / 50 | avg train loss 0.2567  | avg train iou 0.6406 | avg validation loss 0.3961 | avg validation iou 0.5107| lr : 0.001
[Epoch: 22 / 50 | avg train loss 0.2491  | avg train iou 0.6493 | avg validation loss 0.4084 | avg validation iou 0.5013| lr : 0.001
[Epoch: 23 / 50 | avg train loss 0.2181  | avg train iou 0.6864 | avg validation loss 0.3641 | avg validation iou 0.5376| lr : 0.0001
[Epoch: 24 / 50 | avg train loss 0.1995  | avg train iou 0.7106 | avg validation loss 0.3597 | avg validation iou 0.5414| lr : 0.0001
[Epoch: 25 / 50 | avg train loss 0.189  | avg train iou 0.7247 | avg validation loss 0.3574 | avg validation iou 0.5437| lr : 0.0001
[Epoch: 26 / 50 | avg train loss 0.1818  | avg train iou 0.7347 | avg validation loss 0.3574 | avg validation iou 0.544| lr : 0.0001
[Epoch: 27 / 50 | avg train loss 0.1752  | avg train iou 0.7439 | avg validation loss 0.3548 | avg validation iou 0.5461| lr : 0.0001
[Epoch: 28 / 50 | avg train loss 0.1698  | avg train iou 0.7518 | avg validation loss 0.3595 | avg validation iou 0.5423| lr : 0.0001
[Epoch: 29 / 50 | avg train loss 0.1651  | avg train iou 0.7585 | avg validation loss 0.3589 | avg validation iou 0.5426| lr : 0.0001
[Epoch: 30 / 50 | avg train loss 0.1594  | avg train iou 0.7666 | avg validation loss 0.3648 | avg validation iou 0.5379| lr : 0.0001
[Epoch: 31 / 50 | avg train loss 0.1539  | avg train iou 0.7745 | avg validation loss 0.3616 | avg validation iou 0.5405| lr : 0.0001
[Epoch: 32 / 50 | avg train loss 0.1497  | avg train iou 0.7808 | avg validation loss 0.3629 | avg validation iou 0.5396| lr : 0.0001
[Epoch: 33 / 50 | avg train loss 0.1472  | avg train iou 0.7847 | avg validation loss 0.358 | avg validation iou 0.5439| lr : 0.0001
[Epoch: 34 / 50 | avg train loss 0.1404  | avg train iou 0.7951 | avg validation loss 0.3608 | avg validation iou 0.5416| lr : 1e-05
[Epoch: 35 / 50 | avg train loss 0.138  | avg train iou 0.7992 | avg validation loss 0.3616 | avg validation iou 0.5411| lr : 1e-05
[Epoch: 36 / 50 | avg train loss 0.136  | avg train iou 0.8024 | avg validation loss 0.3615 | avg validation iou 0.541| lr : 1e-05
[Epoch: 37 / 50 | avg train loss 0.1351  | avg train iou 0.8037 | avg validation loss 0.3618 | avg validation iou 0.5409| lr : 1e-05
[Epoch: 38 / 50 | avg train loss 0.1337  | avg train iou 0.806 | avg validation loss 0.3621 | avg validation iou 0.5405| lr : 1e-05
[Epoch: 39 / 50 | avg train loss 0.133  | avg train iou 0.8069 | avg validation loss 0.3626 | avg validation iou 0.5402| lr : 1e-05
[Epoch: 40 / 50 | avg train loss 0.1325  | avg train iou 0.8078 | avg validation loss 0.3621 | avg validation iou 0.5405| lr : 1.0000000000000002e-06
[Epoch: 41 / 50 | avg train loss 0.1335  | avg train iou 0.8061 | avg validation loss 0.3624 | avg validation iou 0.5403| lr : 1.0000000000000002e-06
[Epoch: 42 / 50 | avg train loss 0.1329  | avg train iou 0.8072 | avg validation loss 0.3614 | avg validation iou 0.5412| lr : 1.0000000000000002e-06
[Epoch: 43 / 50 | avg train loss 0.1327  | avg train iou 0.8074 | avg validation loss 0.3622 | avg validation iou 0.5404| lr : 1.0000000000000002e-06
[Epoch: 44 / 50 | avg train loss 0.1324  | avg train iou 0.8083 | avg validation loss 0.3625 | avg validation iou 0.5403| lr : 1.0000000000000002e-06
[Epoch: 45 / 50 | avg train loss 0.1322  | avg train iou 0.8082 | avg validation loss 0.3607 | avg validation iou 0.5417| lr : 1.0000000000000002e-06
[Epoch: 46 / 50 | avg train loss 0.1312  | avg train iou 0.8097 | avg validation loss 0.3617 | avg validation iou 0.5408| lr : 1.0000000000000002e-07
[Epoch: 47 / 50 | avg train loss 0.1324  | avg train iou 0.8078 | avg validation loss 0.3619 | avg validation iou 0.5408| lr : 1.0000000000000002e-07
[Epoch: 48 / 50 | avg train loss 0.1331  | avg train iou 0.807 | avg validation loss 0.3619 | avg validation iou 0.5405| lr : 1.0000000000000002e-07
[Epoch: 49 / 50 | avg train loss 0.1323  | avg train iou 0.8081 | avg validation loss 0.3627 | avg validation iou 0.54| lr : 1.0000000000000002e-07
[Epoch: 50 / 50 | avg train loss 0.1316  | avg train iou 0.8092 | avg validation loss 0.3626 | avg validation iou 0.5401| lr : 1.0000000000000002e-07
